company_announcement_date,fda_publish_date,product_type,reason_for_announcement,company_name,brand_name,product_description,recall_status,best_if_used_by,package_description,upc,distribution,consumer_contact_number,consumer_contact_email,no_adverse_reactions_reported,recall_initiation_reason,investigation_findings
"March 05, 2024","March 05, 2024",Food & Beverages,Undeclared Soy,"KALO Foods, LLC",KALO,Carrot Cake Slice,This recall is being made with the knowledge of the Food and Drug Administration.,,Clear plastic clam shells,8 53407 00418 4,Retail stores located in the States of North Carolina and Virginia,Contact Michael Cusato during our hours of operation Monday – Saturday 6:00am – 4:00 pm EST,,No illnesses have been reported to date.,"Packages labeled as Carrot Cake, but the ingredient panel on the bottom is for Chocolate Cake.",The Carrot Cake contains soy which is not listed in the ingredient statement.
"February 28, 2024","February 29, 2024",Food & Beverages,Undeclared milk,Electric City Sweets,Electric City Sweets,Red Velvet Milk Chocolate Bars,,"05/16/2025, 05/29/2025",1.75oz milk chocolate candy bar,860005974467,"Scranton, PA; Milford, PA; Delray Beach, FL; Marina Del Rey, CA; Orlando, FL; North Carolina",1-570-430-8999,,No illnesses have been reported to date.,A consumer reported the issue to the retailer where they had purchased the affected item.,The milk-containing product was distributed in packaging identified with the allergen on the front panel display however it did not reveal the presence of milk in the ingredient list as required.
"February 29, 2024","February 29, 2024",Medical Devices,Limit use to patients aged 12 years or older.,"Megadyne Medical Products, Inc.",Megadyne,Mega Soft Universal and Universal Plus Reusable Patient Return Electrodes,Ongoing,,,,Hospitals,1-877-384-4266,,"Reports of adult and pediatric patient burns, including third-degree burns.","Reports of patient burn injuries, including third-degree burns, in both pediatric and adult patients.","Severe burns could lead to potentially long-lasting impacts on patients, especially under the age of 12 years."
"March 25, 2024","February 28, 2024",Food & Beverages,Potential to be contaminated with Salmonella.,"Roland Foods, LLC.",Roland,Tahini,,"October 19, 2024",16 oz.,,Distributed to many states through retail stores and foodservice outlets from September 2023 through January 2024.,800-622-1823,,"To date, Roland Foods has received no reports of illness related to the recalled product.","The recall was as the result of a routine sampling program by the Michigan Department of Agriculture and Rural Development, which revealed that the product tested positive for Salmonella.",The company has ceased distribution of the product and has initiated an investigation in partnership with the manufacturer as to the root cause of the problem.
"February 21, 2024","February 27, 2024",Medical Devices,Potential Lack of Sterility Assurance,"Avanos Medical, Inc.",Avanos Medical,MIC* Gastric-Jejunal Feeding Tube Kits,,,,,,(855) 201-1355,avanos-fca-2024-001@iqvia.com,Avanos has not been directly contacted with any reported adverse events.,"In direct response to the Nurse Assist, LLC voluntary recall of pre-filled syringes and other sterile water products.",The pre-filled syringe is the only item in the Avanos feeding tube kit affected by the Nurse Assist recall.
"February 22, 2024","February 26, 2024",Drugs,Potential Lack of Sterility Assurance,Brassica Pharma Pvt. Ltd.,Multiple brands,Eye ointment products,This recall is being conducted with the knowledge of the U.S. Food and Drug Administration.,Expiration date ranging from February 2024 to September 2025,"3.5 gram tube, packaged in cardboard box","681131395298, 681131395304, 050428634141, 371406124356","Nationwide to wholesalers, retailers, and via the product distributor, Walmart, CVS and AACE Pharmaceuticals Inc.",+1 833-225-9564,info@brassicapharma.com,No adverse reactions have been reported to date.,Lack of sterility assurance at the facility noted during an inspection conducted by the FDA.,Ophthalmic drug products pose a potential heightened risk of harm to users because drugs applied to the eyes bypass some of the body’s natural defenses.
"February 23, 2024","February 23, 2024",Food & Beverages,"Product contains yellow oleander, a poisonous plant",G.A. Mart dba H&Natural,H&Natural,"Brazil Seed Pure Natural Semilla de Brasil & Tejo Root, Raiz de Tejocte",This recall is being conducted with the knowledge of the U.S. Food and Drug Administration.,3/24 and 5/24,"Tejo Root, Raiz de Tejocte, H&Natural, Healthy and Natural, Dietary Supplement, 10g pills, is packaged in a box or bottle; Brazil Seed Pure Natural Semilla de Brasil, H& Natural, Healthy and Natural, 0.167g seeds, packaged in a box or bottle","196852946921, 195893047529, 196852820641, 195893698721, 195893236893, 196852134618, 195893336975","Nationwide via internet at https://www.handnatural.com/, Amazon.com, and Walmart.com",(928)389-4805,ag@gamartgroup.com,The company has received one report of gastrointestinal illness in connection with H&NATURAL TejoRoot and has not received any reports of adverse events in connection with H&NATURAL Brazil Seed.,Random FDA testing found the products to contain yellow oleander.,"Ingestion of yellow oleander can cause neurologic, gastrointestinal and cardiovascular adverse health effects that may be severe, or even fatal."
"February 23, 2024","February 23, 2024",Food & Beverages,"Product contains yellow oleander, a poisonous plant",Backstage Center,Alipotec King,Alipotec Raiz de Tejocote,,08-2027,"Cylindrical bottle with a green top, white body, and contains approximately 30 granules, weighing a total of 0.35oz",,"Exclusively distributed on Amazon.com since September 15, 2023",818-452-0005,info@alipotecking.com,"There have been no reports of injury or illness, to date.",FDA analysis found that the product contains toxic yellow oleander.,
"February 23, 2024","February 23, 2024",Food & Beverages,Undeclared egg,"LQNN, Inc.",Saigon Gourmet,Banh Ba Xa and Banh Pia,Ongoing,"Various dates including B4.12.23, B6.12.23, B1.11.23, B2.11.23, B3.11.23, A7.11.23, A8.11.23, A9.11.23, A1.11.23, A2.11.23, A3.11.23, A4.11.23, C9.10.23, C10.10.23, C11.10.23, C6.10.23, C7.10.23, C8.10.23, C2.10.23, C3.10.23, C4.10.23, C5.10.23, C1.10.23, B10.10.23, B4.10.23, B5.10.23, B6.10.23, B7.10.23, B8.10.23, B1.10.23, B2.10.23, A10.10.23, OCT1525, DEC0925, NOV1325, OCT1325, DEC2525, NOV1625, OCT0225, NOV2725, NOV0425, OCT2525, Dec0825, Nov1825, DEC1525, DEC2025",Packaged in various colors of foil bags,"Various UPCs including 8 936014 318942, 8 936014 316375, 8 936014 311479, 8 936014 311752, 8 936014 319178, 8 936014 313077, 8 936014 317945, 8 936014 310595, 8 936014 319345, 8 936014 319185, 8 936014 318904, 8 936014 316603","Canada, and nationwide in the US including Alabama, Arizona, Arkansas, California, Colorado, Florida, Georgia, Hawaii, Illinois, Indiana, Kansas, Louisiana, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, Ohio, Oklahoma, Oregon, Tennessee, Texas, Utah, Virginia, and Washington",(714) 949-7870,,No illness has been reported to date.,The affected products may have been mistakenly had an egg wash applied.,The problem may have been caused by a mistake in the manufacturer’s production and packaging process.
"February 12, 2024","February 21, 2024",Food & Beverages,Potential for Listeria monocytogenes contamination,Rico Brand,Rico,Enchiladas,,"Lot. 0234 02/13/24, Lot. 0264 02/16/24, Lot. 0304 02/20/24, Lot. 0334 02/23/24",Deep Meal tray – Plant Fiber - Film 800,"65366006001, 65366006002, 65366006015, 65366006016","Northern Utah Supermarkets (Smith’s, Harmons, Macey’s The Store, Fresh Markets)",801-433-9923,jorge@ricobrand.com,No illnesses have been reported to date in connection with these products.,"Voluntary recall from Rizo-Lopez Foods, Inc. due to potential contamination with Listeria monocytogenes.",
"February 17, 2024","February 19, 2024",Food & Beverages,Elevated level of Vitamin D3 dosage,Nordic Naturals,Nordic Naturals,Baby’s Vitamin D3 Liquid,,December 2025,"0.76 fl. oz. (22.5 mL) bottle with dropper, SKU RUS-02733",,"Distributed to consumers, distributors, and retailers",888-294-7440,customerservice@nordicnaturals.com,No adverse reactions have been reported to date.,A manufacturing error resulted in an elevated level of Vitamin D3 dosage.,The recall is due to an isolated manufacturing error.
"February 16, 2024","February 16, 2024",Food & Beverages,Undeclared sulfites,TRUONG GIANG DISTRIBUTOR CORP,Golden Owl,Dried mango,,,7oz (200g) clear plastic containers,816710-024461,Nationwide in retail stores,215-456-1883,,No illnesses have been reported to date.,Routine sampling by the New York State Department of Agriculture and Markets found sulfites in the product which was distributed in packaging that did not reveal the presence of sulfites.,The problem was caused by a temporary breakdown in the supplier’s labeling processes.
"February 15, 2024","February 15, 2024",Food & Beverages,Undeclared sesame,Capitol Distributing,"CK, Jacksons","Turkey and cheese sandwich, egg sandwich, chicken salad on a croissant",This recall is being made with the knowledge of the U.S. Food and Drug Administration.,Approximately 9 days from delivery,Closed faced sandwiches,"983644000141, 983642601562, 983644000097, 983642540991, 983644100032, 983642541561","Arizona, California, Idaho, Nevada, Oregon, Utah, Washington",(208) 888-5112,ck.quality@capitoldist.com,No reactions or customer complaints have been recorded to date.,A new bread source for sandwiches included sesame and the allergen was incorrectly left off of updated sandwich labels.,Potential cross contact occurred when chicken salad on a croissant and egg salad sandwiches were prepared on the same surface as the turkey sandwiches. The labels have been updated and any future possibility of cross contact has been eliminated.
"February 13, 2024","February 13, 2024",Food & Beverages,Potential Listeria monocytogenes contamination,MG Foods,No Brand,Ham & Cotija Torta Sandwich on Telera Roll,,02/09/24 to 02/16/24,8.3 oz Plastic Container,100001002017,Vending machines and grab-and-go retail markets within business locations exclusively in Florida,1-855-424-8390,RecallConcern@HotLineGlobal.com,No illnesses have been reported related to this specific product.,"Rizo-López Foods, Inc. recall of cotija cheese due to possible contamination with Listeria monocytogenes",Associated with an outbreak the FDA is currently investigating
"February 07, 2024","February 12, 2024",Food & Beverages,Potential Listeria monocytogenes contamination,Sprouts Farmers Market,No Brand,Chicken Street Taco Kit,FDA is monitoring the recall,11/29/2023-3/4/2024,Chicken Street Taco Meal Kit,205916414990,"Sprouts retail stores in AL, FL, GA, NC, and TN",,customerrelations@sprouts.com,No illnesses have been reported to date.,The chicken street taco meal kits contain crema cups manufactured with Rizo-Lopez Foods recalled cheese.,"The FDA and CDC, in collaboration with state and local partners, are investigating illnesses in a multi-year, multistate outbreak of Listeria monocytogenes infections linked to queso fresco and cotija cheeses manufactured by Rizo-López Foods."
"February 09, 2024","February 10, 2024",Food & Beverages,Potential Listeria monocytogenes contamination,The Save Mart Companies,SaveMart,Chicken Street Taco Kit,This recall is being made with the knowledge of the U.S. Food and Drug Administration.,,Plastic container with an approximate net weight of 17 ounces,UPC beginning with '278230',"Sold at Save Mart, Lucky, and Lucky California stores in California and Nevada",(800) 692-5710,customersupport@savemart.com,No illnesses have been reported to date in connection with this product.,The kits include a cup of crema sauce containing cotija cheese produced and recalled by Rizo-Lopez Foods.,
"February 10, 2024","February 10, 2024",Food & Beverages,Potential Listeria monocytogenes contamination.,The Perfect Bite Co.,The Perfect Bite Co.,Mexican Style Street Corn Bites,Voluntary recall,02/21/2025,Sealed tray in a box,,Costco warehouses in California and Hawaii,818-507-1527,,No illnesses have been reported to date for these products.,"The Cotija Cheese used in this product was manufactured by Rizo-Lopez Foods, Inc., which initiated a recall on all lots of Cotija Cheese.",
"February 09, 2024","February 10, 2024",Food & Beverages,Potential Listeria monocytogenes contamination,Stater Bros. Markets,Stater Bros.,Chicken Street Taco Kit,This recall is being made with the knowledge of the U.S. Food and Drug Administration.,"All Sell Thru dates up to and including Feb. 10, 2024",20 oz,0102864343013992,Available for purchase at all Stater Bros. Markets in California,909-733-5000,,No illnesses have been reported to date in connection with this product.,"The Chicken Street Taco kit contains a recalled cheese ingredient in the crema cup supplied by Rizo-López Foods, Inc.","The FDA and CDC, in collaboration with state and local partners, are investigating illnesses in a multi-year, multistate outbreak of Listeria monocytogenes infections linked to queso fresco and cotija cheeses manufactured by Rizo-Lopez Foods."
"February 08, 2024","February 09, 2024",Food & Beverages,Undeclared walnut allergen,Zingerman’s Bakehouse,Zingerman’s Bakehouse,Black Magic Brownie,,Sell by 2/11 Lot# 355 & Sell by 2/12 Lot# 356,"Individually Packaged, 4 oz. in clear film with Purple & Yellow Front Label on front and White nutritional label on back; 4 Pack, 1 lb. in cellophane bag sealed at top with Purple & Yellow Front Label on front and White nutritional label on back","844397000706, 844397008795",Southeast Michigan through retail stores and online at www.zingermans.com,734-761-7255,,No illnesses have been reported to date.,"A consumer reported finding a walnut in a Zingerman’s Bakehouse Black Magic Brownie, Individually Packaged which did not list walnut on label.",Investigation into the source of the walnut is ongoing.
"February 09, 2024","February 09, 2024",Food & Beverages,Potential Listeria monocytogenes contamination,Taylor Fresh Foods,Marketside,Marketside Bacon Ranch Crunch Salad Kit,,"Feb 21, 2024",12.76oz,681131305440,"Walmart stores in AL, AR, CO, DC, IA, KS, KY, LA, MD, MN, MO, MS, MT, NC, ND, NE, NY, OK, PA, SD, TN, TX, VA, WV, WY",855-455-0098,press@taylorfarms.com,No reported illnesses to date associated with the Taylor Fresh Foods Marketside Bacon Ranch Crunch Salad kit.,"Expanded recall from Rizo-López Foods, Inc. due to potential contamination with Listeria monocytogenes.","The specific cheese item used in the product is part of the expanded recall that Rizo-López Foods, Inc. conducted."
"February 09, 2024","February 09, 2024",Food & Beverages,Potential Listeria monocytogenes contamination,Braga Fresh,Marketside,Bacon Ranch Crunch Chopped Salad Kit,All affected products have been removed from store shelves and inventory.,Jan 20 2024 through Feb 19 2024,12.76oz Bacon Ranch Crunch Chopped Salad Kit,681131305440,Limited number of Walmart stores in California and Nevada,877-456-7445,wecare@bragafresh.com,No illnesses have been reported to date associated with this recall.,"The product is being recalled due to a sourced cheese ingredient having possible cross-contamination with recalled Cotija Cheese by Rizo Lopez Foods, Inc.",Active recall and outbreak investigation.
"February 08, 2024","February 09, 2024",Food & Beverages,Potential Listeria monocytogenes contamination.,Fresh Express,"Fresh Express, marketside","Fresh Express Salsa! Ensalada Kit, Marketside Southwest Chopped Salad Kit",Not specified,"January 6 through February 20, 2024",Not specified,"681131305129, 071279309026","AL, CA, FL, GA, ID, UT, WA",(800) 242-5472,Not specified,No illnesses have been reported to date in connection with these products.,"Recall initiated by a cheese supplier, Rizo-Lopez Foods, Inc.","Two salad kits contained condiment packs with cheese toppings affected by a recall issued by Rizo-Lopez Foods, Inc."
"February 08, 2024","February 09, 2024",Food & Beverages,Potential Listeria monocytogenes contamination,Albertsons Companies,"Albertsons, Safeway, Eagle, Carrs-Safeway, Pavilions, Vons, Randalls, Tom Thumb, Shaw's, Star Market, Lucky",Chicken Taco Kits and Meals,,"All Sell Thru dates up to and including Feb. 10, 2024",,"27131600000, 27179600000, 21192500000, 29939300000, 29939100000","AK, AR, CA, CO, ID, LA, MA, ME, NE, NH, NM, OR, RI, SD, TX, VT, WA, WY, AR, AZ, CO, ID, LA, MA, ME, MT, ND, NE, NH, NM, NV, OR, RI, SD, TX, UT, VT, WY, AK, ID, WA, AK, CA, ID, WA, AZ, CA, MA, ME, NH, NM, NV, RI, TX, UT, VT",1-877-723-3929,,,"Possible Listeria monocytogenes contamination due to a recalled cheese ingredient supplied by Rizo-López Foods, Inc.","FDA and CDC, in collaboration with state and local partners, are investigating illnesses in a multi-year, multistate outbreak of Listeria monocytogenes infections linked to queso fresco and cotija cheeses manufactured by Rizo-Lopez Foods."
"February 08, 2024","February 09, 2024",Food & Beverages,Listeria monocytogenes,"Dole Fresh Vegetables, Inc.","Dole, Marketside, President’s Choice",Salad kits,Ongoing,Various dates from 02/03/2024 to 02/21/2024,Various salad kits,"71430000915, 71430000922, 71430017012, 71430002063, 71430010730, 71430017111, 60383023195, 681131305440","AL, CA, CT, FL, GA, IN, KY, LA, MA, MD, MI, MN, MO, MS, NC, NV, NY, OH, PA, SC, TN, UT, VA, WA, WI and Canadian provinces: Alberta, British Columbia, New Brunswick, Ontario, Quebec",800-356-3111,,"At this time, we are unaware of any specific illnesses associated with our products.",Potential cross-contamination of cheese contained in certain masterpacks by cheese potentially contaminated with Listeria monocytogenes.,"Processed on the same line as a cheese that has been recalled by the manufacturer, Rizo-Lopez Foods, for the possible presence of Listeria monocytogenes."
"February 08, 2024","February 08, 2024",Food & Beverages,Potential Listeria monocytogenes contamination,"Ready Pac Foods, Inc.","Marketside, Ready Pac Bistro","Southwest Chopped Salad Kit, Bacon Ranch Crunch Kit, Fresh Mex Chopped Kit, Queso Crunch Salad Kit",Ready Pac has ceased all sale and distribution of the impacted products and any products in inventory will be removed and destroyed per FDA guidelines.,12/27/2023 - 2/19/2024,The kits are sold in bags and the UPC and best by dates may be found on the front or the back of the package depending on which kit was purchased.,"681131305129, 681131305440, 077745256108, 077745256139","AZ, CA, CO, CT, DE, HI, MA, MD, ME, MT, NH, NJ, NM, NY, PA, RI, SD, TX, VT, WY",+1.800.800.7822,bfa-consumer.affairs@bonduelle.com,"To date, the company has not received any reports of illnesses at this time related to these recalled salad kits.",Initiated a voluntary recall of a limited number of cases of four salad kits as a result of the expanded recall by Rizo-López Foods of certain cheese products that may have the potential to be contaminated with Listeria monocytogenes.,"Upon being notified of the expanded recall on February 7, 2024, Ready Pac conducted an investigation and determined that the following products may be impacted."
"February 08, 2024","February 08, 2024",Food & Beverages,Potential Listeria monocytogenes contamination,"BrightFarms, Inc.",Bright Farms,Bright Farms Southwest Chipotle Crunch Kit salad kit,The company has temporarily suspended distribution of the Southwest Chipotle salad kit.,12/31/23 – 2/22/24,"Clear, plastic container",8-50051-82500-4,"Delaware, Maryland, Maine, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Vermont, Virginia, and Washington D.C.",1-866-857-8745,info@brightfarms.com,No confirmed reports of illness related to the BrightFarms product covered by this recall.,"Voluntary recall initiated by Rizo Lopez Foods, Inc. due to potential contamination of Listeria monocytogenes in the Cotija Cheese.",The affected cheese product is contained in a fully enclosed and sealed plastic “masterpack” placed inside the kit.
"February 07, 2024","February 07, 2024",Food & Beverages,Potential for Listeria monocytogenes contamination,Simply Fresh LLC,Rojo’s,Black Bean 6 Layer Dip,This voluntary recall is being done with the knowledge of the Food and Drug Administration.,"Feb 06 2024, Feb 14 2024, Feb 16 2024, Feb 21 2024, Feb 23 2024, Feb 29 2024, Mar 02 2024, Mar 07 2024, Mar 09 2024, Mar 14 2024, Mar 21 2024, Mar 22 2024",2/20oz round plastic container,,"Costco stores in Alabama, Alaska, Florida, Georgia, Idaho, Mississippi, Montana, North Carolina, Oregon, South Carolina, Tennessee, Washington, and Utah",1(800) 755-9925,,"To date, there are no harmful effects reported from our product.","Simply Fresh used the recalled cotija cheese from Rizo Lopez Foods, Inc. in the Rojos Black Bean Layer Dips.",This voluntary recall is being initiated as a result of the Rizo Lopez Foods Inc. recall of cotija cheese due to possible contamination with Listeria monocytogenes.
"February 05, 2024","February 06, 2024",Food & Beverages,Expanded recall for potential Listeria monocytogenes contamination,"Rizo Lopez Foods, Inc.",Rizo Brothers California Creamery,"Cheese, Yogurt, Sour cream",This recall is being carried out with the knowledge of the U.S. Food and Drug Administration.,,,,"Nationwide by RLF and through distributors. Products also were sold at retail deli counters including, but not limited to, El Super, Cardenas Market, Northgate Gonzalez, Superior Groceries, El Rancho, Vallarta, Food City, La Michoacana, and Numero Uno Markets.",1-833-296-2233,,,Potential source of illness in an ongoing nationwide Listeria monocytogenes outbreak.,"Based on information shared by the CDC and FDA, RLF may be a potential source of illness in an ongoing nationwide Listeria monocytogenes outbreak."
"February 02, 2024","February 05, 2024",Drugs,Products contain undeclared Nortadalafil,Today the World,Arize,Arize brand male enhancement capsules,The company has issued a correction to the previous announcement.,EXP: 10/2024,Black box with the word Arize written in red on the front with a line underneath which reads: 'For a rise that is hard to forget',2107,Distributed via website www.getarize.com in the USA,1-888-767-4889,info@getarize.com,No adverse events have been reported to date.,FDA analysis found the products to contain undeclared Nortadalafil.,"Nortadalafil is an active drug ingredient known for treatment of male erectile dysfunction, making it an unapproved new drug."
"February 02, 2024","February 05, 2024",Drugs,Products contain undeclared Tadalafil and Nortadalafil,Today the World,"Sustain, Schwinnng",Sustain and Schwinnng brand male enhancement capsules,This recall is being conducted with the knowledge of the U.S. Food and Drug Administration.,"SUSTAIN: EXP:12.05.2026, EXP: 14.05.2026; SCHWINNNG EXP 10/2024",Blister pack foil,Not provided,Distributed via Amazon at www.amazon.com and www.sustainformula.com and www.schwinnng.com nationwide in the USA.,888-767-4889,"info@sustainformula.com, info@schwinnng.com",No adverse events have been reported.,FDA analysis found the products to contain undeclared Tadalafil and Nortadalafil.,The presence of Tadalafil and Nortadalafil in Sustain capsules and Schwinnng capsules makes them unapproved new drugs for which the safety and efficacy have not been established.
"December 21, 2023","February 05, 2024",Medical Devices,Potential lack of sterility assurance which could result in non-sterile product,Cardinal Health,Covidien and Cardinal Health,Expanded list of Urology and OR room specific kits and trays,,,,,,800-292-9332,fieldcorrectiveaction@cardinalhealth.com,There have been no reports of patient harm.,"In direct response to the Nurse Assist, LLC voluntary product recall due to potential lack of sterility assurance.",Cardinal Health identified affected Covidien and Cardinal Health brand codes and lot numbers after reviewing the impact of the Nurse Assist recall.
"February 03, 2024","February 03, 2024",Food & Beverages,Undeclared Allergen-Sesame,Summer Fresh Salads Inc.,WEGMANS,Harissa hummus topped with harissa,,03/19/2024 and 03/26/2024,"10.5 ounce (298 g), clear plastic package with top, side and bottom labels",,"Select Wegmans stores in Washington D.C., Delaware, Maryland, Massachusetts, New Jersey, New York, North Carolina, Pennsylvania, and Virginia",1-855-934-3663,,No illnesses have been reported to date in connection with this problem.,The sesame-containing product was distributed in packaging that did not reveal the presence of sesame.,The problem was caused by a labelling error.
"February 01, 2024","February 02, 2024",Drugs,Presence of benzene,Insight Pharmaceuticals,TING®,1% Tolnaftate Athlete’s Foot Spray Antifungal Spray Liquid,This recall is being conducted with the knowledge of the U.S. Food and Drug Administration.,"07/24, 06/25",4.5 oz/128 g blue and white aerosol cans,63736-819-05,Nationwide in the United States through a limited number of retailers and online,(800) 344-7239,medicalaffairs@prestigebrands.com,No serious adverse events have been reported to date.,Samples from two lots of the product contained elevated levels of benzene.,Unexpected levels of benzene came from the propellant that sprays the product out of the can.
"February 01, 2024","February 01, 2024",Food & Beverages,Potential Listeria monocytogenes contamination,Nam & Son,Sam Sung,Soy Bean Sprouts,,"December 21, 2023",1lb plastic bag (retail),,Retail stores in MD,443-896-6738,,NO illness has been reported to date.,A random sample collected and analyzed by the state of Maryland confirmed the presence of Listeria Monocytogenes in the product.,The company has actively started investigating the root cause of the problem.
