status,city,state,country,classification,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,report_date,code_info,more_code_info,termination_date
Ongoing,Springdale,AR,United States,Class II,Food,94548,Rise Baking Company dba South Coast Baking,800 S 40th St,N/A,72762-4826,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","California, Ohio, Pennsylvania, Oregon, Florida, Illinois, North Carolina, Massachusetts, Wisconsin, Colorado, Louisiana, Texas, Missouri, Minnesota, Oklahoma, New York, Michigan, Indiana, Maryland, New Jersey and Georgia",F-1301-2024,"Panera Oatmeal Raisin with Berries Cookie, Net Wt. 41.25 lb (18.71kg), 220/3 oz cookie dough pucks/case","29,019 Cases (Total all products)",Potential Salmonella contamination,2024-05-02,2024-06-06,2024-06-12,4109N1 4110N1,,
Completed,Coventry,CT,United States,Class II,Food,94334,Charles Boggini Company Llc,733 Bread And Milk St,N/A,06238-1014,Voluntary: Firm initiated,E-Mail,"CT, PA, NY, NJ, AZ, MI, IL, NV, CA",F-1285-2024,Charles Boggini Company Cola Flavoring Base; packaged in 1 gallon jugs and 5 gallon pails,2723 gallons,Products contain undeclared sulfites.,2024-03-29,2024-06-03,2024-06-12,"Lot/Unit Numbers: 9-330, 9-348, 1-013, 1-036, 1-097",,
Ongoing,Brea,CA,United States,Class II,Food,93770,Ventura Foods Llc,40 Pointe Dr,N/A,92821-3652,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Products are distributed at the Wholesale (Distribution) level. U.S. distribution to GA and FL. No foreign distribution.,F-0713-2024,"DELI CAROLINA STYLE MUSTARD BBQ SAUCE, 2 oz (57g), plastic cup, 96 cups/case, store in ambient temperatures",392 cases,Undeclared fish (anchovy) allergen,2024-01-04,2024-01-12,2024-01-24,B31423  Use By: APR 08 24B Manufacture Date: 11/10/2023 Use By: APR 08 24B,,
Ongoing,Belhaven,NC,United States,Class I,Food,94670,"County Road Seafood, LLC",274 Old County Rd,N/A,27810-9720,Voluntary: Firm initiated,Telephone,Product was shipped to NC and SC.,F-1297-2024,"""COUNTY ROAD SEAFOOD Crab Cake 2 Pack 4 Ounce Allergens: Blue Crab, Soy, Wheat got to be NC SEAFOOD""","3,688/2/4 oz. crab cakes",Product contains (allergen) undeclared egg.,2024-05-15,2024-06-05,2024-06-12,Firm does not use a coding system or expiration date.,,
Ongoing,Shawnee,OK,United States,Class II,Food,94301,Shawnee Milling Company,201 S Broadway Ave,,74801-8427,Voluntary: Firm initiated,E-Mail,Product is sold to one distributor,F-1212-2024,5 lb.Food Club All Purpose Flour Best if Used by 03/08/2025,"3,360 5lb bags","undeclared milk, egg, and soy",2024-03-26,2024-05-01,2024-05-08,Best if Used by 03/08/2025,,
Terminated,Mobile,AL,United States,Class II,Food,93970,"FGP Manufacturing, LLC",1201 W I65 Service Rd N,,36618-1104,Voluntary: Firm initiated,E-Mail,"Distribution States: FL, OK, OH, SC, TX, CO, GA, WI, NC, AL, MO, WV, PA, MI, TN, AZ, NJ   Product sent to franchise owners. -Banana Pudding pops manufactured between 2/21/23 - 1/17/24 and distributed between 2/26/23 - 2/6/24 to the customers on the list provided. -Creamy Coconut pops manufactured between 5/4/23 - 1/18/24 and distributed between 5/8/23 - 2/6/24 to the customers on the list provided. -Fruity Pebble pops manufactured between manufactured between 2/9/23 - 12/8/23 and distributed between 2/13/23 - 2/6/24 to the customers on the list provided.",F-1037-2024,Frios Gourmet Pops - Fruity Pebbles Popsicle 3oz frozen popsicle packaged individually in clear plastic sleeve. 48 popsicles per box.   *Sold directly to end consumer via food truck,731 boxes (48/bx),Undeclared Color Additives - Yellow #5,2024-02-07,2024-03-06,2024-03-13,Manufacturer No. 010212,,2024-04-16
Terminated,Fostoria,OH,United States,Class II,Food,93915,Mennel Milling Company,319 S Vine St,PO Box 806,44830-1843,Voluntary: Firm initiated,E-Mail,"KY, MI, NJ, NY, OH, PA",F-0882-2024,"43058751 BREAD FLR delivered as bulk product in approximately 50,000 lbs trailers",2633960 TOTAL lbs,"Potential Foreign Material - Metal, Wood, Gasket Material, and/or Sifter balls",2024-01-30,2024-02-16,2024-02-28,Lot Codes: 24024-43; 24024-46; 24024-51; 24024-55; 24025-04; 24025-17; 24025-11; 24025-14; 24025-07; 24025-33; 24025-40; 24025-37; 24026-10; 24026-24; 24026-26; 24026-05; 24026-19; 24025-46; 24027-14; 24027-19; 24027-11; 24026-38; 24027-04; 24027-25; 24029-03; 24028-19; 24027-06; 24027-05; 24026-12; 24028-07; 24026-23; 24028-10; 24026-53; 24025-35; 24026-20; 24026-15; 24028-18  Product Code: H150T1-00501,,2024-03-21
Ongoing,Costa Mesa,CA,United States,Class II,Food,94234,"NRS Enterprises, Inc. dba Sunflour Bakery",2950 Grace Ln,N/A,92626-4169,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Products were distributed to customers within the state of CA.,F-1106-2024,"German Home Bakery Poppy Coffee Cake, 16 oz, clear poly bag",197 loaves,Undeclared Yellow #5,2024-03-08,2024-03-27,2024-04-03,Pull date for the coffee cakes are 03/08/2024,,
Ongoing,Modesto,CA,United States,Class I,Food,93814,"Rizo Lopez Foods, Inc. dba Don Francisco Cheese",201 S Mcclure Rd,,95357-0519,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","U.S. distribution to the following: AR, AZ, BC, CA, CO, FL, GA, IA, IL, KS, MD, NC,NJ, NV, NY, OR, RI, TX, UT, VA, WA, W  No foreign distribution.",F-0925-2024,"365 Whole Foods Market Ricotta Part Skim 15 oz. UPC 9-94824-63052  365 Whole Foods Market Ricotta Whole Milk 15 oz. UPC 9-94824-96245  Ricotta Part Skim 65%, 70%, 75% Moisture (bulk)",,Listeria monocytogenes contamination.,2024-01-11,2024-02-23,2024-02-07,All dates through 04/02/2024  Ricotta (bulk) PLU Batch ID 390 B1-23338-Ricotta 65% Moisture 390 B2-23338-Ricotta 65% Moisture 366 B1-23338-Ricotta Part Skim 75% Moisture 366 B2-23338-Ricotta Part Skim 75% Moisture 366 B3-23338-Ricotta Part Skim 75% Moisture 366 B4-23338-Ricotta Part Skim 75% Moisture 366 B5-23338-Ricotta Part Skim 75% Moisture 366 B6-23338-Ricotta Part Skim 75% Moisture AK100047 B1-23339-Ricotta Part Skim 70% Moisture AK100047 B2-23339-Ricotta Part Skim 70% Moisture AK100047 B3-23339-Ricotta Part Skim 70% Moisture AK100047 B4-23339-Ricotta Part Skim 70% Moisture 366 B1-23339-Ricotta Part Skim 75% Moisture AK100047 B1-23340-Ricotta Part Skim 70% Moisture AK100047 B2-23340-Ricotta Part Skim 70% Moisture 366 B1-23340-Ricotta Part Skim 75% Moisture 390 B1-23345-Ricotta 65% Moisture 390 B1-23346-Ricotta 65% Moisture 39030 B1-23346-Ricotta 65% Moisture 39030 B2-23346-Ricotta 65% Moisture 390 B1-23347-Ricotta 65% Moisture 390 B2-23347-Ricotta 65% Moisture 390 B3-23347-Ricotta 65% Moisture 39030 B1-23347-Ricotta 65% Moisture 390 B1-23348-Ricotta 65% Moisture 390 B2-23348-Ricotta 65% Moisture 390 B1-23352-Ricotta 65% Moisture 390 B2-23352-Ricotta 65% Moisture 366 B1-23352-Ricotta Part Skim 75% Moisture 366 B2-23352-Ricotta Part Skim 75% Moisture 366 B3-23352-Ricotta Part Skim 75% Moisture 366 B4-23352-Ricotta Part Skim 75% Moisture 390 B1-23353-Ricotta 65% Moisture 390 B2-23353-Ricotta 65% Moisture 390 B3-23353-Ricotta 65% Moisture 390 B1-23354-Ricotta 65% Moisture 390 B2-23354-Ricotta 65% Moisture 366 B1-23354-Ricotta Part Skim 75% Moisture 366 B2-23354-Ricotta Part Skim 75% Moisture 366 B3-23354-Ricotta Part Skim 75% Moisture 390 B1-23355-Ricotta 65% Moisture 390 B2-23355-Ricotta 65% Moisture AK100105 B1-23360-Ricotta 65% Moisture AK100105 B2-23360-Ricotta 65% Moisture AK100105 B3-23360-Ricotta 65% Moisture AK100105 B4-23360-Ricotta 65% Moisture AK100047 B1-23361-Ricotta Part Skim 70% Moisture AK100047 B2-23361-Ricotta Part Skim 70% Moisture AK100047 B3-23361-Ricotta Part Skim 70% Moisture AK100047 B4-23361-Ricotta Part Skim 70% Moisture AK100047 B5-23361-Ricotta Part Skim 70% Moisture AK100047 B6-23361-Ricotta Part Skim 70% Moisture 390 B1-23363-Ricotta 65% Moisture 390 B2-23363-Ricotta 65% Moisture AK100047 B1-23363-Ricotta Part Skim 70% Moisture 390 B1-242-Ricotta 65% Moisture 39030 B1-242-Ricotta 65% Moisture 39030 B2-242-Ricotta 65% Moisture 39030 B3-242-Ricotta 65% Moisture 39030 B4-242-Ricotta 65% Moisture 390 B1-243-Ricotta 65% Moisture 390 B2-243-Ricotta 65% Moisture 390 B1-244-Ricotta 65% Moisture AK100105 B1-248-Ricotta 65% Moisture AK100105 B2-248-Ricotta 65% Moisture AK100105 B3-248-Ricotta 65% Moisture AK100105 B4-248-Ricotta 65% Moisture AK100105 B5-248-Ricotta 65% Moisture 366 B1-249-Ricotta Part Skim 75% Moisture 366 B2-249-Ricotta Part Skim 75% Moisture 366 B3-249-Ricotta Part Skim 75% Moisture 366 B4-249-Ricotta Part Skim 75% Moisture 366 B5-249-Ricotta Part Skim 75% Moisture 366 B6-249-Ricotta Part Skim 75% Moisture 366 B7-249-Ricotta Part Skim 75% Moisture 390 B1-2411-Ricotta 65% Moisture 390 B2-2411-Ricotta 65% Moisture AK100105 B1-2411-Ricotta 65% Moisture AK100105 B2-2411-Ricotta 65% Moisture 390 B1-2412-Ricotta 65% Moisture 390 B2-2412-Ricotta 65% Moisture AK100047 B1-2415-Ricotta Part Skim 70% Moisture AK100047 B2-2415-Ricotta Part Skim 70% Moisture AK100047 B3-2415-Ricotta Part Skim 70% Moisture AK100047 B4-2415-Ricotta Part Skim 70% Moisture AK100047 B5-2415-Ricotta Part Skim 70% Moisture AK100047 B6-2415-Ricotta Part Skim 70% Moisture AK100047 B7-2415-Ricotta Part Skim 70% Moisture 390 B1-2416-Ricotta 65% Moisture 390 B2-2416-Ricotta 65% Moisture 390 B3-2416-Ricotta 65% Moisture 390 B4-2416-Ricotta 65% Moisture AK100105 B1-2418-Ricotta 65% Moisture AK100105 B2-2418-Ricotta 65% Moisture AK100105 B1-2419-Ricotta 65% Moisture AK100105 B2-2419-Ricotta 65% Moisture AK100105 B3-2419-Ricotta 65% Moisture AK100105 B4-2419-Ricotta 65% Moisture 390 B1-2422-Ricotta 65% Moisture 390 B2-2422-Ricotta 65% Moisture 390 B3-2422-Ricotta 65% Moisture 390 B5-2422-Ricotta 65% Moisture 390 B6-2422-Ricotta 65% Moisture 390 B1-2423-Ricotta 65% Moisture 39030 B1-2423-Ricotta 65% Moisture 39030 B2-2423-Ricotta 65% Moisture 39030 B3-2423-Ricotta 65% Moisture 39030 B1-2424-Ricotta 65% Moisture AK100047 B1-2425-Ricotta Part Skim 70% Moisture AK100047 B2-2425-Ricotta Part Skim 70% Moisture AK100047 B3-2425-Ricotta Part Skim 70% Moisture 390 B1-2426-Ricotta 65% Moisture 390 B2-2426-Ricotta 65% Moisture 39030 B1-2426-Ricotta 65% Moisture AK100047 B1-2426-Ricotta Part Skim 70% Moisture AK100047 B2-2426-Ricotta Part Skim 70% Moisture AK100105 B1-2429-Ricotta 65% Moisture AK100105 B2-2429-Ricotta 65% Moisture AK100105 B3-2429-Ricotta 65% Moisture AK100105 B1-2430-Ricotta 65% Moisture AK100105 B2-2430-Ricotta 65% Moisture AK100105 B3-2430-Ricotta 65% Moisture AK100105 B4-2430-Ricotta 65% Moisture AK100105 B5-2430-Ricotta 65% Moisture 390 B1-2431-Ricotta 65% Moisture AK100105 B1-2431-Ricotta 65% Moisture AK100047 B1-2431-Ricotta Part Skim 70% Moisture AK100047 B2-2431-Ricotta Part Skim 70% Moisture AK100047 B3-2431-Ricotta Part Skim 70% Moisture AK100047 B4-2431-Ricotta Part Skim 70% Moisture 390 B1-2432-Ricotta 65% Moisture 390 B2-2432-Ricotta 65% Moisture 390 B3-2432-Ricotta 65% Moisture 390 B1-2433-Ricotta 65% Moisture 390 B2-2433-Ricotta 65% Moisture 390 B3-2433-Ricotta 65% Moisture 390 B4-2433-Ricotta 65% Moisture 390 B5-2433-Ricotta 65% Moisture 390 B6-2433-Ricotta 65% Moisture 421 B1-23307-Ricotta Part Skim 75% Moisture 421 B2-23307-Ricotta Part Skim 75% Moisture 421 B3-23307-Ricotta Part Skim 75% Moisture 421 B4-23307-Ricotta Part Skim 75% Moisture 421 B5-23307-Ricotta Part Skim 75% Moisture 421 B6-23307-Ricotta Part Skim 75% Moisture 421 B7-23307-Ricotta Part Skim 75% Moisture 421 B8-23307-Ricotta Part Skim 75% Moisture 421 B1-23314-Ricotta Part Skim 75% Moisture 421 B2-23314-Ricotta Part Skim 75% Moisture 421 B3-23314-Ricotta Part Skim 75% Moisture 421 B4-23314-Ricotta Part Skim 75% Moisture 421 B5-23314-Ricotta Part Skim 75% Moisture 421 B6-23314-Ricotta Part Skim 75% Moisture 421 B7-23314-Ricotta Part Skim 75% Moisture 421 B8-23314-Ricotta Part Skim 75% Moisture 421 B1-23320-Ricotta Part Skim 75% Moisture 421 B2-23320-Ricotta Part Skim 75% Moisture 421 B3-23320-Ricotta Part Skim 75% Moisture 421 B4-23320-Ricotta Part Skim 75% Moisture 421 B5-23320-Ricotta Part Skim 75% Moisture 421 B6-23320-Ricotta Part Skim 75% Moisture 421 B7-23320-Ricotta Part Skim 75% Moisture 421 B8-23320-Ricotta Part Skim 75% Moisture 421 B1-23321-Ricotta Part Skim 75% Moisture 421 B2-23321-Ricotta Part Skim 75% Moisture 421 B3-23321-Ricotta Part Skim 75% Moisture 421 B4-23321-Ricotta Part Skim 75% Moisture 421 B5-23321-Ricotta Part Skim 75% Moisture 421 B6-23321-Ricotta Part Skim 75% Moisture 421 B7-23321-Ricotta Part Skim 75% Moisture 421 B8-23321-Ricotta Part Skim 75% Moisture 421 B1-23335-Ricotta Part Skim 75% Moisture 421 B2-23335-Ricotta Part Skim 75% Moisture 421 B3-23335-Ricotta Part Skim 75% Moisture 421 B4-23335-Ricotta Part Skim 75% Moisture 421 B5-23335-Ricotta Part Skim 75% Moisture 421 B6-23335-Ricotta Part Skim 75% Moisture 421 B7-23335-Ricotta Part Skim 75% Moisture 421 B8-23335-Ricotta Part Skim 75% Moisture 421 B1-23341-Ricotta Part Skim 75% Moisture 421 B2-23341-Ricotta Part Skim 75% Moisture 421 B3-23341-Ricotta Part Skim 75% Moisture 421 B4-23341-Ricotta Part Skim 75% Moisture 421 B1-23342-Ricotta Part Skim 75% Moisture 421 B2-23342-Ricotta Part Skim 75% Moisture 421 B3-23342-Ricotta Part Skim 75% Moisture 421 B4-23342-Ricotta Part Skim 75% Moisture 421 B5-23342-Ricotta Part Skim 75% Moisture 421 B1-23345-Ricotta Part Skim 75% Moisture 421 B2-23345-Ricotta Part Skim 75% Moisture 421 B3-23345-Ricotta Part Skim 75% Moisture 421 B1-23349-Ricotta Part Skim 75% Moisture 421 B2-23349-Ricotta Part Skim 75% Moisture 421 B3-23349-Ricotta Part Skim 75% Moisture 421 B4-23349-Ricotta Part Skim 75% Moisture 421 B5-23349-Ricotta Part Skim 75% Moisture 421 B6-23349-Ricotta Part Skim 75% Moisture 421 B7-23349-Ricotta Part Skim 75% Moisture 421 B8-23349-Ricotta Part Skim 75% Moisture 421 B1-23356-Ricotta Part Skim 75% Moisture 421 B2-23356-Ricotta Part Skim 75% Moisture 421 B3-23356-Ricotta Part Skim 75% Moisture 421 B4-23356-Ricotta Part Skim 75% Moisture 421 B5-23356-Ricotta Part Skim 75% Moisture 421 B6-23356-Ricotta Part Skim 75% Moisture 421 B7-23356-Ricotta Part Skim 75% Moisture 421 B8-23356-Ricotta Part Skim 75% Moisture 421 B1-245-Ricotta Part Skim 75% Moisture 421 B2-245-Ricotta Part Skim 75% Moisture 421 B3-245-Ricotta Part Skim 75% Moisture 421 B4-245-Ricotta Part Skim 75% Moisture 421 B5-245-Ricotta Part Skim 75% Moisture 421 B6-245-Ricotta Part Skim 75% Moisture 421 B7-245-Ricotta Part Skim 75% Moisture 421 B1-2412-Ricotta Part Skim 75% Moisture 421 B2-2412-Ricotta Part Skim 75% Moisture 421 B3-2412-Ricotta Part Skim 75% Moisture 421 B4-2412-Ricotta Part Skim 75% Moisture 421 B5-2412-Ricotta Part Skim 75% Moisture 421 B6-2412-Ricotta Part Skim 75% Moisture 421 B7-2412-Ricotta Part Skim 75% Moisture 421 B8-2412-Ricotta Part Skim 75% Moisture,,
Ongoing,San Luis,AZ,United States,Class I,Food,93920,HandNatural,874 S Main St,,85349-7500,Voluntary: Firm initiated,E-Mail,Firm is  100% internet sales. Distribution is unknown at this time.,F-1164-2024,"H&NATURAL 2 PACK! BRAZIL SEED 30 PIECES, FOR 30 DAYS, 5 GRAMS PER BOX",Unknown at this time.,Product recalled due to the presence of yellow oleander and its components in the product.,2024-02-09,2024-04-16,2024-04-24,No Lot code on label. Expiration date listed as 05/24 and 03/24.,,
Ongoing,Beaverton,OR,United States,Class I,Food,93961,"Reser's Fine Foods, Inc.",15570 SW Jenkins Rd,,97006-6003,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed in CA, CT, FL, ID, IL, MD, MT, NJ, NV, OR, PA, SD, TX, UT, VA, and WA.",F-1087-2024,"Item # 407034, Don Pancho Fiesta 3 Pack Everything Sauce.  Each pack consists of Cilantro Lime Crema, Baja-Style Crema, Chipotle Crema. 3/12oz glass bottles per pack,  6 packs per case. UPC on 3-pack box: 0 71117 00741 1.",4319 cases,Listeria monocytogenes. The recalled Cotija cheese was repackaged into finished wholesale and retail RTE products.,2024-02-06,2024-03-19,2024-03-27,"Lot 170255, Use By 3/11/2024 Lot 170292, Use By 3/11/2024 Lot 170684, Use By 3/11/2024 Lot 170686, Use By 3/15/2024 Lot 170686, Use By 3/23/2024 Lot 170686, Use By 3/24/2024 Lot 170686, Use By 3/26/2024 Lot 170984, Use By 3/11/2024 Lot 170984, Use By 3/12/2024 Lot 170984, Use By 3/15/2024 Lot 171233, Use By 3/15/2024",,
Ongoing,Cleveland,OH,United States,Class II,Food,93817,Greco Sidari,3820 Lakeside Ave E,,44114-3848,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","OH, NY & PA",F-0844-2024,SOFINA   21202 MASTRO CAPOCOLLC 4 - 6LB      SUPC/ITEM # 199694,1375 cases total,The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,2024-01-11,2024-02-05,2024-02-14,"All Lot Codes Distributed between November 26, 2023 and January 5, 2024",,
Ongoing,New Century,KS,United States,Class I,Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1309-2024,"Grindsted Hi-Dress CDS 1880 Stabilizer and Emulsifier System, 22.68 kg / 50 lb bag",7030.80 kg,Potential Salmonella Contamination,2024-05-03,2024-06-06,2024-06-12,Lot numbers: 1204595214; 1204597928; 1204597929; 1204599610; 1204599611; 1204616039; 1204623786; 1204623789,,
Terminated,Richland,WA,United States,Class II,Food,94031,"Ethos Bakery, LLC",716 Jadwin Ave,,99352-4218,Voluntary: Firm initiated,Visit,distributed in WA,F-1084-2024,"Vegan Snickerdoodle;  4 oz/plastic sleeve;  The label of recalled product is read in parts: ***Vegan Snickerdoodle ***[Ingredients: Granulated sugar, Wheat flour, Vegan butter (refined coconut oil, soy milk, vegetable oil, soy lecithin,) Sonoran wheat flour, Water, Egg replacer (potato starch, tapioca flour, baking soda, and psyllium husk fiber,) Baking powder (corn starch, sodium bicarbonate, sodium aluminum sulfate, monocalcium phosphate,) Vanilla extract, Kosher salt, Cream of tartar, Cinnamon Allergens: soy.",6 units,Undeclared wheat. Finished bakery product labels declared flour but did not specify wheat.,2024-01-31,2024-03-19,2024-03-27,None,,2024-03-26
Terminated,Wichita,KS,United States,Class III,Food,93899,"Ancient Formulas, Inc.",1235 S Santa Fe St,,67211-3223,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",FL,F-0930-2024,"Healthprint Vitamin D3 5000 Dietary Supplement, 200 tablets, packaged in plastic bottle.",111 bottles,Product is sub-potent for Vitamin D and label contains incorrect percent daily value.,2024-01-25,2024-02-26,2024-03-06,Lot 063-0723,,2024-02-29
Ongoing,New Century,KS,United States,Class I,Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1323-2024,"Grindsted SSD 5731 Non-GMO Stabilizer System, 22.68 kg / 50 lb bag",3628.80 kg,Potential Salmonella Contamination,2024-05-03,2024-06-06,2024-06-12,Lot numbers: 1204594258; 1204594259; 1204594260; 1204594261,,
